标题,类型,上映时间,简介,作者,主演
['窃听风暴 - Das Leben der Anderen'],"['剧情', '悬疑']",['137 分钟'],1984年的东德，整个社会笼罩在国家安全局的高压统治之下，特工魏斯曼（乌尔利希·穆厄 饰）奉命监听剧作家德莱曼（塞巴斯蒂安·寇治 饰）及其女友演员克里斯蒂娜（玛蒂娜·杰蒂克 饰）的生活，监听过程中，魏斯曼渐渐对这家人的生活产生了兴趣，开始暗中帮助他们。一篇刊登在西德《明 镜》报上的文章引起了特工头目的注意，他们认为这篇文章是德莱曼写的，并逮捕了克里斯蒂娜，希望能够从她口中得出她丈夫的秘密？而审问克里斯蒂娜的正是魏斯曼……,['弗洛里安·亨克尔·冯·多纳斯马尔克'],"['乌尔里希·穆埃', '塞巴斯蒂安·科赫', '马蒂娜·格德克', '乌尔里希·图库尔', '托马斯·蒂梅', '汉斯-尤韦·鲍尔', '路德韦格·布洛克伯格', '托马斯·阿诺德', '玛丽·格鲁伯', 'Volker Michalowski', '迈克尔·格伯', '克劳斯·芒斯特', '巴斯蒂安·特罗斯特', '赫伯特·克瑙普', '保罗·法格斯纳赫特', '辛纳克·勋纳曼', 'Werner Dähn', '马丁·布拉巴赫', '沃克马·克莱纳特', '查理·哈纳', 'Sheri Hagen', 'Harald Polzin', 'Fabian von Klitzing', 'Gabi Fleming', 'Susanna Kraus', '胡伯图斯·哈特曼', 'Ralf Ehrlich', 'Paul Maximilian Schüller', '马提亚斯·布伦纳', '伊嘉·比肯费尔德', '吉塔·施维赫夫', '希尔德加德·斯罗德', '凯·伊沃·保利兹', 'Elja-Dusa Kedves', 'Anabelle Munro', 'Ernst-Ludwig Petrowsky', 'Manfred Ludwig Sextett', 'Philipp Kewenig', 'Jens Wassermann', '维尔纳·德恩']"
['时空恋旅人 - About Time'],"['喜剧', '爱情', '奇幻']",['123 分钟'],长到21岁的时候，蒂·姆雷克 （多姆纳尔·格里森饰演）突然得知自己有穿越时空的能力。在和往年一样不欢而散的新年派对之后，蒂姆的爸爸 （比尔·奈伊饰演）跟他坦诚布公：我们这个家族的男人，生来就有着穿越时空的神力。蒂姆虽然不能改变历史，但是他能够改变自己生命中发生过的和将要发生的一些小事，所以他决定运用自己的能力，让生活变得美好——说白了他是希望给自己找一个女朋友。然而，这并非像他相信中那么容易。蒂姆从康沃尔海岸搬到了伦敦，受训成为律师，在这里他终于遇上了一位漂亮但不那么自信的姑娘，名叫玛丽（ 瑞秋·麦克亚当斯 饰演）。两人相爱了。然而一次“穿越”当中，蒂姆不小心改变的一件小事就像像“蝴蝶效应”一样让他在将来生活中没有机会遇到玛丽。通过一次又一次的尝试，蒂姆一次又一次地和玛丽相遇，他终于赢得了她的心  。,['理查德·柯蒂斯'],"['瑞秋·麦克亚当斯', '多姆纳尔·格里森', '比尔·奈伊', '玛歌特·罗比', '汤姆·霍兰德', '琳赛·邓肯', '内芙·加切夫', '凡妮莎·柯比', '李·阿斯奎斯-柯', '安部春香', '汤姆·休斯', '李·尼古拉斯·哈里斯', '丽莎·艾科恩', '凯瑟琳·斯戴曼', 'Nichola Marie Fynn', '维尔·梅里克', '保罗·布莱克维尔', '罗薇娜·戴蒙德', '莉迪亚·威尔逊', '马修·C·马蒂诺', '黛博拉·罗桑', '约翰·达根', '米切尔·马伦', '格拉姆·柯里', '理查德·赫德曼', '哈利·海顿-佩顿', 'Lilian Price', '艾薇·维', '理查德·科德里', 'Greg Bennett', '阿曼达·伦贝里', 'Cleo Bianca Anderson', 'Morris Minelli', '利昂·科尔宾', '吉诺·皮恰诺', 'Neil Alexander Smith', 'Kris Dillon Jr.', '乔什·麦吉尔', 'Katherine Denkinson', '朱莉·沃洛诺', 'John Harley', 'Glenn Webster', 'Luke Howard', 'Catherine Delaloye', 'Eva Dagoo', 'Benjay X Murphy', 'Freddie-Joe Twine', '西蒙娜·利伯曼', 'Matt Butcher', '马汀·麦格', '珍妮·莱恩斯福德', 'Robby Haynes', 'Natasha Powell', 'Jon Wennington', 'Clemmie Dugdale', 'Ricky Rajpal', 'Murray Close', '理查德·班克斯', 'Lisa Byrne', 'Fran Bennett', 'Martyn Moore', '菘龙忠', 'Fiaz Ali', 'Aisling Hughes', 'Bhanu Alley', 'Olivia Konten-Sloman', 'Andrew Yiallouros', 'Habib Anibaba', 'Tiger Rudge', 'Sara Heller', 'Natasha Manu', 'Guglielmo Richards', 'Sophie Brown', 'Georgie Westall', 'Paige Segal', 'Katharine Blackshaw', 'David Golt', 'Kas Graham', 'Lew Smart', 'Alex Tutusaus', '理查德·E·格兰特', '理查德·格雷弗斯', 'Pal Aron', 'Mark Healy', 'Kenneth Hazeldine', 'Matilda Sturridge', '菲利普-沃斯', 'Tom Godwin', 'Ben Benson', 'Andrew Martin Yates', 'Verity Fullerton', 'Veronica Owings', 'Jaiden Dervish', 'Jacob Francis', 'Jago Freud', 'Ollie Phillips', 'Sophie Pond', 'Kirsty Anne Symonds', '艾莉克丝摩尔', 'Molly Seymour', '汤姆·斯托顿', 'Rebecca Chew', 'Jon West', 'Graham Richard Howgego', 'Kerrie Liane Studholme', 'Barbar Gough', 'Jon Boden', 'Charlie Curtis', '约书亚·麦圭尔', '贝恩·科拉科', '迪诺·法赞尼', '李仙湖']"
['穿条纹睡衣的男孩 - The Boy in the Striped Pajamas'],"['剧情', '战争']",['94 分钟'],1940年代的柏林，八岁的小男孩布鲁诺和同学在外面玩耍后回 到家里，发现家里正忙得不可开交。原来身为纳粹军官的父亲被升职将要调遣，母亲正在准备一次聚会。只不过布鲁诺一点儿也高兴不起来，父亲的新职务是在波兰的纳粹集中营，全家都要搬过去，这样他不得不离开心爱的家和伙伴们。一开始布鲁诺很难适应新的生活环境，很快就觉得无聊起来。没有同龄人陪他玩，母亲也禁止他到处走。倒是姐姐从来不讨厌跟他聊天，因为姐姐忙于摆弄自己的布娃娃，或者是跟父亲的同事——一位年轻英俊的男子聊天。布鲁诺从自己房间的窗户往外看，有一处很奇怪的农场，人们都穿着条纹睡衣在干活。正当他想试着多去了解一些的时候，又被警告不许接近那里。实际上就连母亲也不太清楚这里，她以为只是住在某个劳动营的隔壁，丈夫隐瞒了这里是杀人工厂 奥斯维辛集中营的真相。有一天布鲁诺在花园里玩的时候，不小心摔倒把膝盖碰伤了。在厨房干活的穿着条纹睡衣的帕维尔赶过来帮助他包扎了伤口。两人从此结为了好友。在房子周围晃悠了几周之后，布鲁诺终于决定越过界限来到了一个用电线网制成的围墙边，看到围墙的另一边有一个穿着条纹睡衣的男孩在用手推车倒碎石子。他很惊讶终于在这里发现了可以一起玩的同龄人，布鲁诺以后每天都要偷偷来这里和新朋友什穆埃尔见面。数周过去，布鲁诺对于自己的所见所闻愈加感到困惑，家人教导他所有 犹太人都是魔鬼而他与什穆埃尔的关系却越来越紧密。另一方面，父亲决定把他们和妈妈送到海德堡的姑姑那里去。一想到从此无法再见到这位最好的新朋友，布鲁诺感到很绝望。什穆埃尔告诉布鲁诺自己的父亲失踪了三天，布鲁诺决定利用最后的时间为他做些事情，于是也穿上了一件条纹睡衣，从一块松动的铁丝网下爬进集中营。然而，无情的命运却与小男孩布鲁诺开了一个天大的玩笑，他的生命也将从此划上句号  。,['马克·赫尔曼'],"['阿沙·巴特菲尔德', '维拉·法梅加', '大卫·休里斯', '鲁伯特·弗兰德', '杰克·塞隆', '卡拉·霍根', '理查德·约翰逊', '大卫·海曼', '谢拉·汉考克', '安贝尔·比蒂', '祖萨·霍尔', '拉斯洛·阿隆', 'Henry Kingsmill', ""Zac Mattoon O'Brien"", 'Gábor Harsai', '贝拉·费斯彼姆', 'Domonkos Németh', '阿提拉·埃杰德', '伊凡·弗雷贝利', 'Charlie Baker', '拉斯洛·纳道希', 'László Quitt', '米哈利·绍鲍多什', '泽索特·萨法尔·科夫卡', '吉姆·诺顿', '奥索利亚·茱莉娅·帕普']"
['教父 - The Godfather'],"['剧情', '犯罪']",['175 分钟'],40年代的美国，“教父”维托·唐·柯里昂（马龙·白兰度 饰）是黑手党柯里昂家族的首领，带领家族从事非法的勾当，但同时他也是许多弱小平民的保护神，深得人们爱戴。 因为拒绝了毒枭索洛索的毒品交易要求，柯里昂家族和纽约其他几个黑手党家族的矛盾激化。圣诞前夕，索洛索劫持了“教 父”的参谋汤姆，并派人暗杀“教父”；因为内奸的出卖，“教父”的大儿子逊尼被仇家杀害；小儿子麦克（阿尔·帕西诺 饰）也被卷了进来，失去爱妻。黑手党家族之间的矛盾越来越白热化。年老的“教父”面对丧子之痛怎样统领全局？黑手党之间的仇杀如何落幕？谁是家族的内奸？谁又能够成为新一代的“教父”？血雨腥风和温情脉脉，在这部里程碑式的黑帮史诗巨片里真实上演。,['弗朗西斯·福特·科波拉'],"['马龙·白兰度', '阿尔·帕西诺', '詹姆斯·肯恩', '罗伯特·杜瓦尔', '黛安·基顿', '理查德·卡斯特尔诺', '约翰·凯泽尔', '阿历克斯·罗克', '索菲亚·科波拉', '约翰·马利', '理查德·布赖特', '托尼·乔治', '维托·斯科蒂', 'Tere Livrano', '维克多伦蒂纳', 'Jeannie Linero', '朱莉·格雷格', 'Ardell Sheridan', '阿贝·维高达', '吉亚尼·罗素', '鲁迪·邦德', '阿尔·马蒂诺', '摩甘娜金', '兰尼·蒙大拿', '约翰马迪诺', 'Salvatore Corsitto', '艾尔·勒提埃里', '塔莉娅·夏尔', '乔·斯皮内尔', '理查德·康特', '斯特林·海登', 'Anthony Gounaris', 'Ron Gilbert', '吉安-卡洛·科波拉', '卡迈恩·科波拉', '萨罗·乌尔齐', '弗兰科·奇蒂', '柯拉朵加伊帕', '安杰洛·伊凡蒂', '西蒙蕾妲·瑟法奈尼', '尼克·瓦莱隆加', '弗兰克·西维罗', '托尼·利普', '加里·弗雷德里克森', 'Italia Coppola', 'Don Costello', 'Matthew Vlahakis', 'Max Brandt', 'Gabriele Torrei', 'Ed Vantura', '汤姆·罗斯奎', 'Filomena Spagnuolo', 'Burt Richards', 'Sal Richards', 'Rick Petrucelli', 'Father Joseph Medeglia', 'Lou Martini Jr.', 'Frank Macetta', 'Randy Jurgensen', '桑尼格鲁索', '乔·罗·格里普', 'Nino Ruggeri', '罗曼·科波拉', 'Peter Lemongello', 'Carol Morley', '路易斯·古斯', 'Raymond Martino', 'Norm Bacchiocchi', 'Merril E. Joels', '罗伯特·达赫达赫', 'Tybee Brascia']"
['萤火之森 - 蛍火の杜へ'],"['剧情', '爱情', '动画', '奇幻']",['45 分钟'],某年夏天，6岁小女孩竹川萤来到爷爷家度假，她闯进了传说住满妖怪的山神森林。正当她因为迷路而焦急万分的时候，一个戴着狐狸面具的大男孩出现在她面前，并引领着萤找到回家的路。虽然萤分外感激，可是男孩却禁止她碰触自己的身体，原来这名叫银的男孩并非人类，他一旦被人类碰触就会烟消云散。在此后的日子里，萤和银成为好朋友，他们走遍了森林的每一个角落玩耍。日复一日，年复一年，每到夏天的时候萤就会如约来到森林和好朋友见面。她遵守着和银的约定，无论如何也不碰触银的身体。随着年龄的增长，萤和银对彼此的情感都悄悄发生了变化，他们共同期待相聚的日子，共同期待拥抱对方…… 本片根据绿川幸的原作改编。,['大森贵弘'],"['内山昂辉', '佐仓绫音', 'Izumi Sawada', '山本兼平', '辻亲八', 'Hayato Taya', '内田麻美']"
['素媛 - 소원'],['剧情'],['123 分钟'],她（李莱 饰）是一个美丽平凡的小女孩，和爸爸妈妈生活在位于街角的家中。家里经营着以她的名字素媛命名的杂货店，母亲（严智媛 饰）作为老板娘日夜忙碌不得闲暇，父亲则在工厂干着繁重的工作。在那个飘雨的早上，素媛打着雨伞独自上学。在离学校近在咫尺的地方，她遭遇一个相貌猥琐、酒气冲天的大叔，由此开启了她的悲剧之旅。柔嫩的小花遭到暴风雨无情摧残，受伤的岂止枝枝叶叶，更是那迎着阳光无忧成长的心。无良媒体铺天盖地大肆渲染，作为受害者的素媛一家仿佛成了周身污秽的耻辱之人，被四周诧异好奇的目光所包围。妈妈悲痛欲绝，几近崩溃。爸爸全力保护女儿，但受伤的小天使却拒绝爸爸的靠近。问凶之路伴随着天使的治愈旅程，美丽的女孩可会再露灿烂笑容？,['李濬益'],"['李来', '薛耿求', '严志媛', '金海淑', '金相浩', '罗美兰', '杨真诚', '赵福来', '徐贤宇', '宋英奎', '郑敏圣', '权泰元', '曹文义']"
['小鞋子 - بچههای آسمان'],"['剧情', '家庭']",['89 分钟'],家境贫寒的男孩Ali（Amir Farrokh Hashemian）帮妹妹Zahra（Bahare Seddiqi）取修补好的鞋子时，不慎将鞋子弄丢，为了不被父（Mohammad Amir Naji）、母（Fereshte Sarabandi ）责罚，他央求Zahra暂时保密，说两人可以替换着穿他的鞋子上学，并答应一定会帮她买双新鞋子。Ali原本指望用他和父亲进城打工挣的钱帮Zahra买双新鞋，父亲的意外受伤打消了他的美梦。看到全市长跑比赛季军的奖品是一双运动鞋时，Ali决定参加比赛，但是他错过了报名日期。几经哀求，老师（Dariush Mokhtari ）破例让实力出众的Ali参加了比赛。比赛场上，Ali不断提醒自己，一定要得第三名！,['马基德·马基迪'],"['默罕默德·阿米尔·纳吉', 'Kamal Mirkarimi', 'Behzad Rafi', '克里斯托弗·马利基', '纳菲丝·贾法-穆罕默迪', '巴哈丽·西迪奇', '法拉赫阿米尔·哈什米安', 'Mohammad-Hasan Hosseinian', 'Dariush Mokhtari', '费雷什特·萨拉班迪', 'Jafar Seyfollahi', 'Abbas-Ali Roomandi', 'Hasan Roohparvari', 'Kambiz Peykarnegar', 'Qolamreza Maleki', 'Masume Dair', 'Mohammad Haj-Hosseini', 'Sara Zamani', 'Zahra Mirzai', 'Haj-Ali Salimi', 'Seyd-Ali Hosseini', 'Mohammad-Hossein Shahidi', 'Kazem Asqarpoor', 'Davud Shams', 'Mash-Ebrahim Safari', 'Golnaz Tariqat', 'Ahmad Mokhber', 'Hossein Ahamdloo', 'Siamak Haj-Amini', 'Azade Qale Noi', 'Faramarz Safarizadeh', 'Jamshid Yusefi', 'Javad Kazemi', 'Soheil Haj-Amini', 'Rahman Kharazchi', 'Ali Chaharian', 'Amir-Ali Kazemi', 'Mohammad Oskooi', 'Reza Dehghan', 'Moshen Qadiri Nejad', 'Amir Hossein Tavakkoli', 'Navid Feyzabadi', 'Pasha Shoja Zadeh', 'Mohammad Hossein Mortavazi', 'Hadi Maleki', 'Seyed Karym Alikhani']"
['熔炉 - 도가니'],['剧情'],['125 分钟'],来自首尔的哑语美术老师仁浩（孔宥 饰）来到雾津，应聘慈爱聋哑人学校。天降大雾，他意外撞车，维修时邂逅了人权组织成员柔珍（郑有美 饰）。仁浩妻子早亡，8岁女儿天生哮喘由祖母照看，所以他不辞辛苦谋职养家。然而，双胞胎的校长与教导主任竟逼仁浩索贿5千万韩元。同时，仁浩逐渐发现学校笼罩着一种紧张压抑的气氛，令人窒息。有三个孩子引人关注：聪颖的金妍斗（金贤秀 饰）、贪吃的陈宥利（郑仁絮 饰）和弟弟自杀身亡的全民秀（白承焕 饰），民秀总是满脸淤青。下课后，仁浩还听到女厕所中有呼喊与哭泣，在门卫的阻拦下他未深究。之后。他意外目睹了校长行贿警察，教导员毒打民秀，宿导溺罚妍斗的行径。一个惊天的隐秘被慢慢揭开，真相令韩国震惊…… 本片取材于2005年光州一所聋哑障碍人学校的真实事件，改编自韩国作家孔枝泳的同名小说。,['黄东赫'],"['孔刘', '郑有美', '金贤秀', '郑仁絮', '白承焕', '张光', '金志映', 'Baek Seung-Hwan', 'Hyeon-soo Kim', 'Jeong In-seo', '严孝燮', '郑亨锡', '林贤成', '全国焕', '金周灵', '金智怜', '李相熹', '许在浩', '洪锡然', '严智星', '张素妍', '金民尚', '郑裕美', '南明烈', 'Park Hye-jin-i', '崔镇浩', 'Myeong-ryeol Nam', '林贤成', 'Kwon Yoo-Jin']"
['大话西游之大圣娶亲 - A Chinese Odyssey Part Two - Cinderella'],"['喜剧', '爱情', '奇幻']",['110 分钟'],至尊宝（周星驰 饰）被月光宝盒带回到五百年前，遇见紫霞仙子（朱茵 饰），被对方打上烙印成为对方的人，并发觉自己已变成孙悟空。 紫霞与青霞（朱茵 饰）本是如来佛祖座前日月神灯的灯芯（白天是紫霞，晚上是青霞），二人虽然同一肉身却仇恨颇深，因此紫霞立下誓言，谁能拔出她手中的紫青宝剑，谁就是她的意中人。紫青宝剑被至尊宝于不经意间拔出，紫霞决定以身相许，却遭一心记挂白晶晶（莫文蔚 饰）的至尊宝拒绝。后牛魔王救下迷失在沙漠中的紫霞，并逼紫霞与他成婚，关键时刻，至尊宝现身。,['刘镇伟'],"['周星驰', '朱茵', '莫文蔚', '蔡少芬', '陆树铭', '吴孟达', '罗家英', '蓝洁瑛', '刘镇伟', '江约诚', '吴珏瑾', '李宝龙']"
['新龙门客栈 - New Dragon Gate Inn'],"['动作', '爱情', '武侠', '古装']",['88 分钟'],宦官专权的明朝末年，东厂曹少钦（甄子丹 饰）假造圣旨杀害了忠良杨宇轩，并想斩草除根杀死其后代。侠女邱莫言（林青霞 饰）、江湖义士贺虎（任世官 饰）等人冒死救出忠良后代后，逃至边关沙漠里的龙门客栈，与杨宇轩部下周淮安（梁家辉 饰）会合。龙门客栈实则黑店，老板娘金镶玉（张曼玉 饰）利用乱世，以美貌和风骚作诱饵杀人越货聚敛钱财，但她却为英俊潇洒的周淮安动了真心。为了摸清潜藏于龙门客栈中的出关暗道，周淮安将计就计，答应与金镶玉成亲……,"['李惠民', '姜明海']","['张曼玉', '梁家辉', '甄子丹', '刘洵', '吴启华', '熊欣欣', '袁祥仁', '任世官', '元彬', '徐锦江', '王彤川', '郑希怡', '林青霞', '施懿']"
['触不可及 - Intouchables'],"['剧情', '喜剧']",['112 分钟'],因为一次跳伞事故，白人富翁菲利普（弗朗索瓦·克鲁塞 饰）瘫痪在床，欲招聘一名全职陪护。由于薪酬高，应聘者云集，个个舌灿莲花，却无法打动他的心。直到黑人德瑞斯（奥玛·赛 饰）的出现才让他作出决定。德希斯刚从监狱出来，背负家庭重担，一心只想寻张辞退信以申领救济金，而且他明显对女助理的兴趣要远大于这份工作。但是菲利普还是一眼相中了这个小伙子。于是，德瑞斯开始了一个月的试用期。虽然舒适的豪宅环境让他倍感虚荣，但是他仍面临很多挑战：不仅要为菲利普作身体复健，还得给他洗浴、灌肠、拆信、穿丝袜等。起初，两人的思维方式与价值观大相径庭，但是，随着了解的不断深入，他们成为了朋友……,"['奥利维埃·纳卡什', '埃里克·托莱达诺']","['弗朗索瓦·克鲁塞', '奥玛·希', '安娜·勒尼', '奥德雷·弗勒罗', '阿尔芭·贝露琪', 'Cyril Mendy', 'Christian Ameri', 'Grégoire Oestermann', '玛丽-洛尔·德库洛', 'Dominique Daguier', 'François Caron', '多萝特博里埃', '艾米丽·卡恩', 'Sylvain Lazard', 'Fabrice Mantegna', '海迪·布奇纳法', 'Jérôme Pauwels', '安托万·劳伦特', 'Abdel Sellou', 'Dominique Henry', '皮埃尔-罗兰·巴纳隆', 'Elliot Latil', 'Alain Anthony', 'Caroline Bourg', 'Kévin Wamo', 'Michel Winogradoff', 'Renaud Barse', 'Benjamin Baroche', 'Nicky Marbot', 'Jean François Cayrey', '克洛蒂尔德·莫勒', '托马·索利韦尔', 'Ian Fenelon', 'François Bureloup', '约瑟芬娜·德·摩', 'Absa Diatou Toure', '萨丽马特·卡马特']"
['钢琴家 - The Pianist'],"['剧情', '音乐', '传记', '历史', '战争']",['150 分钟'],史标曼（艾德里安·布洛迪 饰）是波兰一家电台的钢琴师。二战即将爆发之时，他们全家被迫被赶进华沙的犹太区。在战争的颠沛流离中，家人和亲戚最终被纳粹杀害，而标曼本人也受尽种种羞辱和折磨，他侥幸得到一位朋友的帮助，暂时有了藏身之处。战争愈加猛烈，朋友不得不抛下 他回老家寻得安全的住所养育儿女。此时史标曼恶病缠身，却还要在搜捕中逃亡。在废墟的阁楼上他遇见了一名德国军官，在军官的要求下他弹奏了钢琴曲。美妙的琴声令德国军官萌发了恻隐之心，他暗暗帮助标曼直到俄军对波兰的解放到来……,['罗曼·波兰斯基'],"['艾德里安·布洛迪', '艾米莉娅·福克斯', '米哈乌·热布罗夫斯基', '埃德·斯托帕德', '穆琳·利普曼', '弗兰克·芬莱', 'Wanja·穆埃斯', '茱莉亚·蕾娜', '理查德·赖丁斯', 'Anthony Milner', '约阿希姆·保罗·阿斯波克', '丹尼尔·卡尔塔吉罗内', '泽比纽·扎马洲斯基', '玛雅·奥丝塔泽斯卡', '约翰·贝内特', '西里尔·谢普斯', '罗南·维博特', 'Katarzyna Figura', '瓦伦丁·佩尔卡', '安德鲁·蒂曼', 'Tom Strauss', '托马斯·克莱舒曼', '帕韦尔·伯克齐克', '安杰伊·皮耶钦斯基', '莫嘉娜·波兰斯基', 'Maciej Kowalewski', '波利斯·席克', 'Jacek Wolszczak', 'Pawel Zdun', 'David Szurmiej', 'Izabella Szolc', 'Dagmara Sieminska', '阿克西尔·普拉尔', 'Aleksandra Nizynska', 'Rafal Dajbor', 'Anna Gryszka', 'Adrian Hood', 'Ryszard Kluge', 'Ireneusz Machnicki', '帕威·马拉欣斯基', 'Adam Malecki', 'Maurycy Zylber', 'Jerzy Góralczyk', 'Nina Franoszek', '约翰·基奥', 'Rafal Mohr', 'Dmitri Leshchenko', '乌多·科罗施瓦德', '波佩克', '索菲娅·切尔文斯卡', 'Katarzyna Bargielowska', 'Wojciech Smolarz', 'Uwe Rathsam', '乔安娜·布罗兹克', 'Roy Smiles', 'Paul Bradley', 'Ben Harlan', 'Thomas Lawincky', 'Lejb Fogelman', 'Detlev von Wangenheim', '安杰伊·布卢门菲尔德', 'Darian Wawer', '杰西卡·凯特·梅耶尔', 'Roddy Skeaping', 'Lucy Skeaping', 'Nomi Sharron', '露丝·普拉特', 'Lech Mackiewicz', 'Torsten Flach', 'Frank-Michael Köbe', '克日什托夫·皮耶钦斯基', 'Peter Rappenglück', '塞萨里·科辛斯基', '雅努什·奥莱伊尼恰克', 'Emilio Fernandez']"
['本杰明·巴顿奇事 - The Curious Case of Benjamin Button'],"['剧情', '爱情', '奇幻']",['166 分钟'],飓风正在侵袭美国新奥尔良，一位病危的老妇睁开了她的睡眼。老妇名叫戴茜（凯特·布兰切特 饰），她叫女儿凯若琳（朱莉娅·奥蒙德 饰）为她阅读一本日记。这本日记的作者叫本杰明·巴顿（布拉德·皮特 饰）。本杰明出生在第一次世界大战停战之时，但生来便像个老人的他被父亲当作怪物，被遗弃在了养老院。本杰明在养老院与老人们一起生活。但谁都没有想到，本杰明逆向发育——越活越年轻！也许“越活越年轻”是某些人的梦想，但真正这样成长的本杰明却有了别人无法理解的烦恼与快乐。穿越半世纪的世界变革，本杰明身处其中，感受别人感受不到的感受。为何母亲会让自己念这本日记？本杰明·巴顿此人与母亲有什么关系？凯若琳陷入了深深的疑惑与好奇之中。,['大卫·芬奇'],"['布拉德·皮特', '凯特·布兰切特', '塔拉吉·P·汉森', '朱莉娅·奥蒙德', '芳妮·A·钱勃丝', '伊莱亚斯·科泰斯', 'Nadyia Jones', 'Brianna Womick', 'Lauren Swinney', 'Ross Rouillier', 'Heather Lipson', 'Gelsey Weiss', 'Jeffrey Scott Jones', '希洛·朱莉-皮特', 'Nick Reasons', 'Michael Owens', 'Audrey Lynn', 'Naima Imani Lett', 'Angelina McCoy', 'Jennifer Toffel', 'Robert W. Savina', 'Autumn Withers', '杰伊·奥利弗', 'Jonathan Lane', 'Alec Mazo', '迈克尔·沃兹尼亚克', '辛西娅·勒布朗', '埃尔顿·勒布朗', '丹尼尔文森特', '特里·李·史密斯', 'Chaz Smith', 'Aliane Baquerot', '艾玛·德吉斯泰德特', '路易斯迪普伊', '梅根·布朗', 'Aaron Jennings Hartnell', 'Christopher Karl Johnson', 'Craig Sawyer', 'Walter Delmar', 'Rhonda Huete', 'Emily Howe', 'Lori Enterline', 'Katherine Crockett', 'Tim Harvey', 'Derrick Guidry', '马莱丽·格雷迪', 'Victoria Goulet', 'Bianca Chiminello', '伊芙·布伦特', '加瑞特·法贝斯', 'Melissa Cabrera', 'Leslie Augustine', 'Brett Beoubay', '西蒙娜·爱丽丝·吉拉德', '杰拉尔丁·格伦', 'Dewayne Bateman', 'Joe Fontana', 'Bob Harter', '格兰特·杰姆斯', 'Debby Gaudet', 'Clay Chamberlin', 'David Paterson', 'Myrton Running Wolf', 'Ashley Nolan', 'Sonya Leslie-Shepherd', '斯宾塞·丹尼尔斯', '艾德里安·阿马斯', '迪内·泰勒', '汤姆·埃沃雷特', '斯蒂芬·泰勒', '约书亚·德罗什', 'Jessica Cropper', 'Charles Henry Wyson', 'Taren Cunningham', 'Katta Hules', '克里斯托弗·马克斯韦尔', '钱德勒·坎特布瑞', '麦迪逊·贝蒂', '乔什·斯图沃特', '维布尔·弗利茨杰拉德', '蒂尔达·斯文顿', '路易斯·赫特哈姆', '罗斯·布莱克维尔', '乔伊·比索奈特', '里奇蒙德·阿奎特', '伊利亚·沃洛克', 'Yasmine Abriel', '唐·克里奇', 'Devyn A. Tyler', '兰斯·E·尼克尔斯', 'Earl Maddox', '杰森·弗莱明', 'Edith Ivey', 'Ed Metzger', '唐娜·杜普兰提尔', ""Patrick Thomas O'Brien"", '菲利斯·萨莫维尔', '丹尼·文森', '乔安娜·塞勒', 'Paula Gray', 'Rampai Mohadi', 'Jacob Wood', 'Troi Bechet', '泰德·汉森', '菲奥娜·黑尔', 'Marian Zinser', 'Danny Nelson', '马赫沙拉·阿里', 'Robert Towers', '彼特·唐纳德·巴达拉曼迪二世', '艾丽·范宁', '克莱·卡伦', '杰瑞德·哈里斯', '大卫·詹森', 'Jacob Tolano', 'Blake Balu', 'Allen Boudreaux', 'David E. Brown', 'Marianne Filali', 'Ron Flagge', 'Zuri Goldman', 'Cody Green', 'Alim Kouliev', 'Benee Leavy', 'Kevin Lorio', 'Veleska Mosichmiller', 'Ian Novotny', 'Antonia Kanischtscheff', 'Shawn Ramagos', 'Andy Sims', 'Logan Douglas Smith', '丹尼斯·托马斯IV', 'Yvette Tucker', 'Gerrold Vincent', 'Jearl Vinot', '特德·曼森', '伊利亚·沃里克', 'David Ross Paterson', 'Marion Zinser', 'Sonya Leslie']"
['倩女幽魂 - A Chinese Ghost Story'],"['爱情', '奇幻', '武侠', '古装']",['98 分钟'],宁采臣 （张国荣饰）赴郭北县收帐，逢大雨，躲入传说纷纭的兰若寺投宿，但为寺内道士燕赤霞 （午马饰）所拒，于是宁采臣偷偷潜入寺中。入夜，宁采臣被一阵琴音吸引，邂逅少女聂小倩 （王祖贤饰）。聂小倩突露杀机，幸燕赤霞赶到，救下宁采臣一命。聂小倩感其正直，心生爱意，但被燕赤霞阻止。宁采臣却误认燕赤霞为杀人犯，欲与聂小倩逃走。树精姥姥 （刘兆铭饰）逼聂小倩杀宁采臣，聂小倩不肯，姥姥命众魔欲杀宁与小倩，燕赤霞再次出现，救 下二人，姥姥重伤。此时宁采臣才知聂小倩原是一游魂，因尸骨被弃荒野而受姥姥控制，每夜四处寻找壮男为姥姥吸引阳精，增益延寿。为免聂小倩再次受辱，宁采臣答应将其尸骨送回乡间安葬。不料聂小倩却被地府石妖抢去为妻。燕赤霞经不住宁采臣相求，再次出手，终于救回小倩  。,['程小东'],"['张国荣', '王祖贤', '午马', '林威', '王晶', '薛芷伦', '刘兆铭', '胡大为', '蒋金', '黄哈', 'Mei-Yee Sze', '杨又祥']"
